model_name,fold,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time,Dataset
Gradient Boosting,1,0.9736842105263158,0.9761904761904762,0.9534883720930232,0.9647058823529412,0.9967245332459876,0.9951937984496126,62.06940293312073,Breast Cancer
Gradient Boosting,2,0.912280701754386,0.945945945945946,0.813953488372093,0.875,0.9891909597117589,0.9821863263695172,57.64836525917053,Breast Cancer
Gradient Boosting,3,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9834656084656084,0.9852707346538884,56.08016204833984,Breast Cancer
Gradient Boosting,4,0.956140350877193,0.9111111111111112,0.9761904761904762,0.942528735632184,0.9963624338624338,0.9941520749407504,59.80128335952759,Breast Cancer
Gradient Boosting,5,0.9646017699115044,0.975,0.9285714285714286,0.951219512195122,0.9936284372904092,0.9914509579393752,58.36643862724304,Breast Cancer
Naive Bayes,1,0.9649122807017544,0.9534883720930232,0.9534883720930232,0.9534883720930232,0.9960694398951851,0.9933937751668672,0.0050010681152343,Breast Cancer
Naive Bayes,2,0.912280701754386,0.9230769230769232,0.8372093023255814,0.8780487804878049,0.9775630527350148,0.9463384627769152,0.0028975009918212,Breast Cancer
Naive Bayes,3,0.9298245614035088,1.0,0.8095238095238095,0.8947368421052632,0.988425925925926,0.9837193115626484,0.0032298564910888,Breast Cancer
Naive Bayes,4,0.9035087719298246,0.8163265306122449,0.9523809523809524,0.8791208791208791,0.980654761904762,0.9549241308084188,0.0047800540924072,Breast Cancer
Naive Bayes,5,0.9557522123893806,0.9743589743589745,0.9047619047619048,0.9382716049382716,0.9916163648558014,0.9884466690372292,0.0032184123992919,Breast Cancer
MLP (PyTorch),1,0.956140350877193,0.9130434782608696,0.9767441860465116,0.9438202247191012,0.9980347199475924,0.9971523493118176,0.4213218688964844,Breast Cancer
MLP (PyTorch),2,0.9736842105263158,1.0,0.9302325581395348,0.963855421686747,0.99737962659679,0.9959985370995847,0.2554347515106201,Breast Cancer
MLP (PyTorch),3,0.9824561403508772,1.0,0.9523809523809524,0.975609756097561,0.9871031746031746,0.9860018371340707,0.4856178760528564,Breast Cancer
MLP (PyTorch),4,0.9473684210526316,0.875,1.0,0.9333333333333332,1.0,1.0,0.4415230751037597,Breast Cancer
MLP (PyTorch),5,0.991150442477876,1.0,0.9761904761904762,0.9879518072289156,0.9983232729711604,0.997467071935157,0.4422345161437988,Breast Cancer
Logistic Regression,1,0.7522567703109327,0.1494661921708185,0.84,0.2537764350453172,0.8589862724392818,0.2238223064358711,6.217864513397217,Stroke
Logistic Regression,2,0.7439759036144579,0.1477663230240549,0.86,0.252199413489736,0.8273150105708245,0.1979988998504045,0.8082926273345947,Stroke
Logistic Regression,3,0.714859437751004,0.125,0.78,0.2154696132596685,0.8420084566596194,0.2386264385695264,0.8152866363525391,Stroke
Logistic Regression,4,0.7068273092369478,0.1329305135951661,0.8979591836734694,0.231578947368421,0.8534146499148763,0.1795030643679176,0.8311145305633545,Stroke
